年份,省份,low_低空经济产业规模,low_航空运输业就业人员数,low_低空经济企业个数,low_低空交通起降基础设施数量,low_互联网宽带接入端口,low_民用通用机场数量,low_航空邮路总长度,low_民用机场旅客吞吐量,low_货邮吞吐量,low_移动电话基站密度,low_公共安全财政支出,low_科学研究和技术服务业城镇单位就业人员,low_规模以上工业企业R&D经费,low_高技术产业有效发明专利数,low_低空经济政策数量,low_score,green_道路网密度,green_万人公交车标台数,green_公交站点500m覆盖率,green_新能源充电桩数量,green_人均道路面积,green_绿色交通出行分担率,green_私家车拥有量,green_城市化率,green_人口密度,green_人均GDP,green_全年空气质量优良天数,green_可吸入颗粒物年均浓度,green_二氧化碳年排放量,green_高峰期平均车速,green_高峰拥堵延时指数,green_建成区绿化覆盖率,green_环保财政支出占比,green_道路运输财政支出占比,green_新能源车辆占有率,green_score,区域,low_score_lag1,low_低空经济产业规模_lag1,low_航空运输业就业人员数_lag1,low_低空经济企业个数_lag1,low_低空交通起降基础设施数量_lag1,low_互联网宽带接入端口_lag1,low_民用通用机场数量_lag1,low_规模以上工业企业R&D经费_lag1,low_高技术产业有效发明专利数_lag1,low_低空经济政策数量_lag1,green_道路网密度_lag1,green_新能源充电桩数量_lag1,green_绿色交通出行分担率_lag1,green_新能源车辆占有率_lag1,green_人均GDP_lag1,green_城市化率_lag1,green_score_lag1,low_policy_intensity,green_support_base,policy_trend,gdp_trend,target_trend,year_index,region_code,预测值,情景
2024,上海,0.12659179231201872,0.6674138727118366,0.1,0.03964688000980802,0.2313496496595283,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.24497319502634574,0.08972734290766321,0.7427857142857143,0.24874498490830996,0.7141509433962264,0.5266868076535751,1.0,0.47217676713326656,0.2364864864864865,0.9245951417004051,0.8674802677058882,1.008,0.999183215069682,0.9713331055865065,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.025,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.25177062917407056,0.7787694922784079,0.009280924805686402,0.01717484862530172,0.0,8,0,0.5183867302719292,重点投入情景
2025,上海,0.13736127326373676,0.6674138727118366,0.1,0.04301973942875267,0.2358859172999112,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.2658136785153156,0.09736067278351021,0.7712857142857144,0.26296821565540596,0.7141509433962264,0.5266868076535751,1.0,0.4859294885060802,0.2364864864864865,0.9382591093117413,0.8674802677058882,1.016,0.999183215069682,0.9885079542118083,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.05,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.26625125905970204,0.7964365727303675,0.023761554691317882,0.03434969725060344,0.0,9,0,0.5191641073156894,重点投入情景
2026,上海,0.14904694094329218,0.6674138727118366,0.1,0.04667953644927278,0.24042218494029413,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.28842711415118205,0.10564338915744466,0.7997857142857143,0.2779165389973812,0.7141509433962264,0.5266868076535751,1.0,0.4996822098788938,0.2364864864864865,0.9519230769230772,0.8674802677058882,1.024,0.999183215069682,1.0056828028371099,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.075,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.28147887912984976,0.8141036531823268,0.0389891747614656,0.05152454587590505,0.0,10,0,0.517622478683507,重点投入情景
2027,上海,0.16172673765115692,0.6674138727118366,0.1,0.050650681572065565,0.24495845258067703,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.31296433141526886,0.11463073696591723,0.8282857142857143,0.2936516403780246,0.7141509433962264,0.5266868076535751,1.0,0.5134349312517074,0.2364864864864865,0.9655870445344134,0.8674802677058882,1.032,0.999183215069682,1.0228576514624117,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.1,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.2975170377111179,0.8317707336342862,0.05502733334273377,0.06869939450120688,0.0,11,0,0.5181092327895295,重点投入情景
2028,上海,0.17548523643459088,0.6674138727118366,0.1,0.054959661960283894,0.24949472022105995,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.3395889912307845,0.12438266097054039,0.8567857142857143,0.3102404529763828,0.7141509433962264,0.5266868076535751,1.0,0.5271876526245209,0.2364864864864865,0.9792510121457494,0.8674802677058882,1.04,0.999183215069682,1.0400325000877133,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.125,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.3144346893454776,0.8494378140862457,0.07194498497709342,0.08587424312650849,0.0,12,0,0.518718982131563,重点投入情景
2029,上海,0.1904142051818849,0.6674138727118366,0.1,0.05963521810641444,0.25403098786144285,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.3684786775657323,0.13496420558399053,0.8852857142857142,0.32775560414474725,0.7141509433962264,0.5266868076535751,1.0,0.5409403739973345,0.2364864864864865,0.9929149797570855,0.8674802677058882,1.048,0.999183215069682,1.0572073487130151,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.15,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.33230665471055265,0.8671048945382052,0.0898169503421685,0.10304909175181032,0.0,13,0,0.5187971173484044,重点投入情景
2030,上海,0.20661321870551402,0.6674138727118366,0.1,0.06470853552864993,0.25856725550182574,0.0714285714285714,0.0211090039257089,0.9225361029475466,0.6610816542948038,1.0,0.3015482775777797,0.5213068181818182,0.3998260819012159,0.14644594871010114,0.9137857142857143,0.346275899826239,0.7141509433962264,0.5266868076535751,1.0,0.5546930953701481,0.2364864864864865,1.0065789473684215,0.8674802677058882,1.056,0.999183215069682,1.0743821973383165,0.7352941176470589,0.7936344969199178,0.5111769213053547,0.0597701149425286,0.1877828054298641,0.3031017594775983,0.3640449438202247,0.2791922739244951,1.175,0.6650260322364149,东部,0.2563848488273546,0.0735610957217605,0.5875422630661762,0.0,0.0384615384615384,0.2244744892924109,0.0714285714285714,0.2220036398511742,0.0783909716046444,0.4285714285714285,0.7141509433962264,0.3020565162564947,0.850202429149798,0.6761503336845803,0.9063683552555042,0.9962513781697904,0.6650260322364149,0.3512141196664784,0.8847719749901646,0.10872441529809426,0.1202239403771117,0.0,14,0,0.5178243383226369,重点投入情景
2024,云南,0.030117576554944746,0.2043447176752707,0.0333333333333333,0.7231461608837727,0.2899042731668805,0.7857142857142857,0.0751256783027666,0.032747555928747,0.0040296924708377,0.0272912975452707,0.2354611174525127,0.1008522727272727,0.0749510545297195,0.007987928762653368,0.3241142857142857,0.2320634012890752,0.0943396226415094,0.161127895266868,0.5767195767195767,0.10804215678970436,0.1934121621621621,0.49311740890688294,0.6912000425412308,0.1944873208379272,0.0282046046250446,0.30766219298035036,0.9470588235294116,0.9168377823408624,0.6695070697465266,0.3890804597701148,0.4671945701357466,0.0930527843279521,0.2831460674157303,0.3906935908691835,0.11160871092377939,0.2202332862370686,西部,0.0904286658356548,0.0135426285010772,0.1888470188712968,0.0666666666666666,0.5384615384615384,0.2361788216717655,0.7857142857142857,0.0561123010378391,0.0049037413730475,0.1428571428571428,0.0896226415094339,0.069007668131862,0.4251012145748991,0.0727081138040042,0.2881972976915705,0.1669239250275634,0.2202332862370686,0.27114076006397486,0.20555926376592526,0.05951705562575202,0.005439999482953151,0.0,8,2,0.22191492221012318,重点投入情景
2025,云南,0.03111344265833059,0.2043447176752707,0.0333333333333333,0.7470576714299132,0.2955886706799566,0.7857142857142857,0.0751256783027666,0.032747555928747,0.0040296924708377,0.0272912975452707,0.2354611174525127,0.1008522727272727,0.07742938191050992,0.008252057168751211,0.3625142857142857,0.24527336777635816,0.0943396226415094,0.161127895266868,0.5767195767195767,0.11118901572532681,0.1934121621621621,0.5004048582995956,0.6912000425412308,0.19603087100330757,0.0282046046250446,0.3131021924633035,0.9470588235294116,0.9168377823408624,0.6695070697465266,0.3890804597701148,0.4671945701357466,0.0930527843279521,0.2831460674157303,0.3906935908691835,0.11433087460484719,0.2202332862370686,西部,0.0904286658356548,0.0135426285010772,0.1888470188712968,0.0666666666666666,0.5384615384615384,0.2361788216717655,0.7857142857142857,0.0561123010378391,0.0049037413730475,0.1428571428571428,0.0896226415094339,0.069007668131862,0.4251012145748991,0.0727081138040042,0.2881972976915705,0.1669239250275634,0.2202332862370686,0.28564285631285313,0.20959262697672615,0.07401915187463029,0.010879998965906301,0.0,9,2,0.22253987473419412,重点投入情景
2026,云南,0.032142238014641666,0.2043447176752707,0.0333333333333333,0.7717598386475892,0.3012730681930327,0.7857142857142857,0.0751256783027666,0.032747555928747,0.0040296924708377,0.0272912975452707,0.2354611174525127,0.1008522727272727,0.07998965752598383,0.008524919229965502,0.40091428571428567,0.2586661878264932,0.0943396226415094,0.161127895266868,0.5767195767195767,0.11433587466094929,0.1934121621621621,0.507692307692308,0.6912000425412308,0.19757442116868792,0.0282046046250446,0.31854219194625666,0.9470588235294116,0.9168377823408624,0.6695070697465266,0.3890804597701148,0.4671945701357466,0.0930527843279521,0.2831460674157303,0.3906935908691835,0.11705303828591497,0.2202332862370686,西部,0.0904286658356548,0.0135426285010772,0.1888470188712968,0.0666666666666666,0.5384615384615384,0.2361788216717655,0.7857142857142857,0.0561123010378391,0.0049037413730475,0.1428571428571428,0.0896226415094339,0.069007668131862,0.4251012145748991,0.0727081138040042,0.2881972976915705,0.1669239250275634,0.2202332862370686,0.30037053161507576,0.21362599018752695,0.08874682717685292,0.016319998448859452,0.0,10,2,0.22273186024830266,重点投入情景
